x,y
0,4.447691701
0.02004008,5.024612032
0.04008016,5.869592918
0.06012024,4.722490206
0.080160321,4.877100714
0.100200401,5.046555163
0.120240481,5.374992999
0.140280561,5.543020054
0.160320641,5.95434711
0.180360721,5.61047056
0.200400802,5.36977504
0.220440882,6.070465328
0.240480962,5.833017435
0.260521042,4.773202326
0.280561122,6.824306365
0.300601202,6.486163099
0.320641283,5.557175454
0.340681363,5.870317776
0.360721443,6.383622261
0.380761523,5.67542265
0.400801603,6.166779102
0.420841683,6.393972604
0.440881764,5.374350573
0.460921844,5.620677761
0.480961924,6.422628047
0.501002004,6.232411247
0.521042084,6.503982448
0.541082164,6.015880321
0.561122244,5.977741884
0.581162325,5.163004912
0.601202405,5.629404596
0.621242485,6.266018017
0.641282565,6.69484374
0.661322645,6.588234474
0.681362725,6.298604464
0.701402806,6.266919828
0.721442886,6.551475588
0.741482966,6.522071522
0.761523046,7.22531885
0.781563126,6.636346638
0.801603206,5.862583432
0.821643287,6.007007506
0.841683367,7.442746402
0.861723447,6.137866663
0.881763527,7.145775781
0.901803607,6.669420847
0.921843687,6.758808228
0.941883768,6.816701144
0.961923848,7.534540175
0.981963928,6.867506941
1.002004008,6.987348375
1.022044088,6.278686428
1.042084168,7.187513593
1.062124248,7.38976975
1.082164329,7.283901448
1.102204409,7.903356948
1.122244489,7.272074655
1.142284569,7.434057866
1.162324649,8.148901304
1.182364729,6.589722364
1.20240481,7.176896945
1.22244489,8.157969156
1.24248497,7.953034514
1.26252505,7.86424015
1.28256513,7.98145563
1.30260521,7.768743525
1.322645291,8.461089295
1.342685371,7.874250326
1.362725451,7.845384455
1.382765531,7.845010399
1.402805611,7.9020432
1.422845691,7.267182742
1.442885772,8.27110807
1.462925852,7.860631837
1.482965932,8.876889413
1.503006012,7.968186789
1.523046092,8.256551326
1.543086172,8.209473438
1.563126253,7.813473987
1.583166333,8.66240108
1.603206413,9.158944646
1.623246493,8.239104376
1.643286573,8.136333753
1.663326653,8.149138941
1.683366733,7.42055252
1.703406814,8.317907055
1.723446894,8.572392846
1.743486974,9.01435291
1.763527054,9.007077979
1.783567134,8.358884727
1.803607214,8.468802931
1.823647295,9.209247242
1.843687375,8.600642801
1.863727455,8.47244014
1.883767535,9.463794295
1.903807615,9.326408064
1.923847695,8.857091287
1.943887776,8.590886827
1.963927856,7.921915552
1.983967936,9.262787675
2.004008016,8.559831171
2.024048096,8.066730188
2.044088176,9.880586616
2.064128257,9.452240409
2.084168337,8.598832577
2.104208417,8.601216142
2.124248497,9.683977885
2.144288577,8.849591846
2.164328657,9.976732248
2.184368737,9.676967131
2.204408818,9.677115896
2.224448898,9.651245523
2.244488978,9.584703392
2.264529058,9.969313716
2.284569138,9.342098095
2.304609218,9.652194424
2.324649299,10.02527189
2.344689379,9.970873617
2.364729459,9.131965515
2.384769539,9.519334245
2.404809619,9.936020991
2.424849699,9.645692044
2.44488978,10.77710884
2.46492986,9.733283122
2.48496994,9.888830656
2.50501002,10.39473513
2.5250501,10.21536657
2.54509018,10.01754313
2.565130261,9.752013757
2.585170341,10.32109771
2.605210421,10.72996906
2.625250501,10.49004861
2.645290581,9.901489402
2.665330661,11.1990488
2.685370741,9.647452538
2.705410822,9.619478822
2.725450902,10.93118042
2.745490982,10.6039022
2.765531062,10.25631285
2.785571142,10.02185692
2.805611222,11.77162236
2.825651303,10.70984804
2.845691383,10.95848335
2.865731463,10.89040547
2.885771543,10.98894707
2.905811623,11.08167048
2.925851703,11.21791541
2.945891784,10.70417237
2.965931864,10.78604273
2.985971944,10.10143248
3.006012024,10.62187184
3.026052104,11.18766061
3.046092184,11.61469606
3.066132265,11.43178429
3.086172345,11.00199852
3.106212425,10.58083839
3.126252505,9.863825437
3.146292585,11.86845216
3.166332665,11.03805084
3.186372745,11.14851299
3.206412826,11.47861264
3.226452906,10.75012579
3.246492986,11.31809488
3.266533066,12.54480211
3.286573146,11.82583976
3.306613226,11.79285103
3.326653307,10.86205937
3.346693387,12.81518772
3.366733467,11.02206948
3.386773547,12.73470947
3.406813627,10.75609925
3.426853707,12.55639013
3.446893788,12.70281471
3.466933868,11.52166317
3.486973948,12.18523808
3.507014028,12.28776834
3.527054108,11.64721097
3.547094188,11.36962957
3.567134269,11.47540987
3.587174349,12.44485281
3.607214429,12.17187106
3.627254509,11.9723585
3.647294589,12.77797318
3.667334669,12.58870329
3.687374749,11.99701814
3.70741483,11.8142289
3.72745491,12.71654069
3.74749499,12.2261983
3.76753507,12.58467257
3.78757515,13.36329979
3.80761523,12.86639458
3.827655311,12.22417712
3.847695391,12.77572138
3.867735471,12.25914847
3.887775551,13.57981218
3.907815631,12.53484189
3.927855711,12.9593468
3.947895792,13.04965787
3.967935872,13.01549698
3.987975952,11.99667743
4.008016032,12.29282153
4.028056112,12.82993709
4.048096192,13.2559083
4.068136273,13.06738294
4.088176353,12.69777897
4.108216433,12.54222071
4.128256513,13.05573425
4.148296593,13.06235516
4.168336673,13.59309158
4.188376754,13.21359428
4.208416834,13.7181875
4.228456914,13.15958894
4.248496994,13.36901515
4.268537074,13.36305096
4.288577154,13.18597083
4.308617234,13.9297938
4.328657315,13.25051663
4.348697395,13.43657403
4.368737475,13.70091513
4.388777555,13.12886528
4.408817635,13.65516779
4.428857715,13.50206225
4.448897796,13.70371849
4.468937876,13.90791175
4.488977956,13.5779991
4.509018036,13.90799818
4.529058116,14.71245061
4.549098196,14.08529711
4.569138277,14.71090764
4.589178357,14.35160393
4.609218437,14.60551718
4.629258517,13.87128755
4.649298597,14.35105078
4.669338677,14.40563382
4.689378758,14.07244465
4.709418838,14.00742351
4.729458918,13.71378514
4.749498998,15.24706781
4.769539078,14.05287671
4.789579158,15.25226885
4.809619238,14.38549189
4.829659319,14.22807199
4.849699399,15.01065837
4.869739479,14.42388299
4.889779559,15.06378858
4.909819639,14.6532334
4.929859719,15.09993169
4.9498998,14.41570657
4.96993988,15.35555529
4.98997996,15.22394626
5.01002004,14.56021474
5.03006012,16.3815881
5.0501002,15.37026191
5.070140281,16.2855141
5.090180361,15.98049463
5.110220441,15.12602349
5.130260521,15.05438516
5.150300601,15.09887161
5.170340681,14.42566709
5.190380762,15.03284396
5.210420842,15.5442247
5.230460922,16.22390062
5.250501002,15.11461606
5.270541082,15.98211046
5.290581162,14.95486565
5.310621242,15.32808247
5.330661323,15.43250235
5.350701403,15.88730835
5.370741483,15.97013779
5.390781563,16.262734
5.410821643,16.20706177
5.430861723,15.98330755
5.450901804,16.09698608
5.470941884,16.73614911
5.490981964,15.72650084
5.511022044,16.40940825
5.531062124,15.15805229
5.551102204,16.30787153
5.571142285,15.9006598
5.591182365,16.18365032
5.611222445,16.74248801
5.631262525,16.34484695
5.651302605,16.74519898
5.671342685,17.07956778
5.691382766,16.57731252
5.711422846,17.00836622
5.731462926,16.29964536
5.751503006,16.49890107
5.771543086,16.28177646
5.791583166,17.10465513
5.811623246,16.83029217
5.831663327,16.40970942
5.851703407,16.78074123
5.871743487,17.26427117
5.891783567,16.76393314
5.911823647,16.34918089
5.931863727,16.92968333
5.951903808,15.91352482
5.971943888,17.3282731
5.991983968,16.77330414
6.012024048,16.78939273
6.032064128,17.5019761
6.052104208,16.42162698
6.072144289,18.1178379
6.092184369,16.94424772
6.112224449,16.96282343
6.132264529,17.77514143
6.152304609,17.65895685
6.172344689,18.57030424
6.19238477,17.27916655
6.21242485,17.36464638
6.23246493,16.72527187
6.25250501,17.33895888
6.27254509,17.18437453
6.29258517,17.36078683
6.312625251,16.75315662
6.332665331,18.49563444
6.352705411,16.99710908
6.372745491,16.34438958
6.392785571,17.19135893
6.412825651,17.52373153
6.432865731,17.29095443
6.452905812,18.45496339
6.472945892,17.87697219
6.492985972,17.99866475
6.513026052,18.33124799
6.533066132,18.20913853
6.553106212,18.59549607
6.573146293,17.59155381
6.593186373,17.9126137
6.613226453,18.55943648
6.633266533,16.99925584
6.653306613,17.61902099
6.673346693,18.5971895
6.693386774,18.14664903
6.713426854,18.89490748
6.733466934,18.87152402
6.753507014,17.90796759
6.773547094,18.75042273
6.793587174,19.18802328
6.813627255,18.70097171
6.833667335,18.17860223
6.853707415,19.1471098
6.873747495,19.06520725
6.893787575,19.05888054
6.913827655,19.18562476
6.933867735,17.37042904
6.953907816,19.34828441
6.973947896,19.8519617
6.993987976,19.20629519
7.014028056,19.12442061
7.034068136,19.41635561
7.054108216,19.27732917
7.074148297,19.47418722
7.094188377,19.18911225
7.114228457,18.84510449
7.134268537,18.76637572
7.154308617,18.80952137
7.174348697,18.66217612
7.194388778,18.85490655
7.214428858,20.30949078
7.234468938,19.84598571
7.254509018,19.19650434
7.274549098,19.35390185
7.294589178,19.64545712
7.314629259,19.301486
7.334669339,19.70309711
7.354709419,20.09822091
7.374749499,19.73162763
7.394789579,19.95758703
7.414829659,20.27290509
7.434869739,19.7336736
7.45490982,20.05221494
7.4749499,19.795211
7.49498998,19.97571553
7.51503006,19.86769499
7.53507014,19.80570535
7.55511022,20.19707637
7.575150301,20.43357326
7.595190381,20.26353298
7.615230461,20.4798244
7.635270541,19.90157519
7.655310621,19.70875365
7.675350701,20.55922315
7.695390782,20.73472226
7.715430862,20.45579036
7.735470942,21.14495977
7.755511022,20.96487144
7.775551102,21.89138762
7.795591182,20.49077811
7.815631263,20.13183813
7.835671343,20.30127429
7.855711423,20.42867394
7.875751503,20.9895187
7.895791583,19.71254888
7.915831663,21.49093884
7.935871743,20.75209519
7.955911824,20.78842687
7.975951904,20.41223222
7.995991984,20.93487119
8.016032064,21.03868401
8.036072144,21.01117182
8.056112224,21.28175408
8.076152305,20.85748859
8.096192385,20.74447689
8.116232465,21.506629
8.136272545,21.32187882
8.156312625,21.41121578
8.176352705,21.88221904
8.196392786,20.88150338
8.216432866,21.0052455
8.236472946,22.10155572
8.256513026,20.77158437
8.276553106,20.89840014
8.296593186,22.00211729
8.316633267,21.75236663
8.336673347,21.72596276
8.356713427,21.66759715
8.376753507,21.76914079
8.396793587,21.74753112
8.416833667,22.51138869
8.436873747,21.67467343
8.456913828,21.83314089
8.476953908,22.85113222
8.496993988,22.00774283
8.517034068,23.15007633
8.537074148,22.02165845
8.557114228,22.79793595
8.577154309,21.3266366
8.597194389,22.27121101
8.617234469,21.44223216
8.637274549,22.69677625
8.657314629,21.70819535
8.677354709,22.4965942
8.69739479,22.25369164
8.71743487,21.85576815
8.73747495,21.66526991
8.75751503,22.25950983
8.77755511,23.42542494
8.79759519,22.44844785
8.817635271,23.09388131
8.837675351,22.64682927
8.857715431,23.15379425
8.877755511,21.84205533
8.897795591,22.59399703
8.917835671,23.3103741
8.937875752,22.79412403
8.957915832,22.87260402
8.977955912,22.74068087
8.997995992,23.57068168
9.018036072,23.18482932
9.038076152,23.09816344
9.058116232,23.43775974
9.078156313,23.45042509
9.098196393,23.30268631
9.118236473,24.00998869
9.138276553,23.24640934
9.158316633,23.45567379
9.178356713,23.03523715
9.198396794,23.4718512
9.218436874,24.23075451
9.238476954,23.15532511
9.258517034,22.95023766
9.278557114,24.05549405
9.298597194,23.52281131
9.318637275,23.68527665
9.338677355,23.65479806
9.358717435,23.75699573
9.378757515,24.18278037
9.398797595,23.3780331
9.418837675,23.33178831
9.438877756,23.92023958
9.458917836,23.11461583
9.478957916,23.27138906
9.498997996,24.93133757
9.519038076,24.41681032
9.539078156,24.07312808
9.559118236,24.73723994
9.579158317,23.63801702
9.599198397,24.04059523
9.619238477,24.55020376
9.639278557,24.72389295
9.659318637,24.5750957
9.679358717,23.08809803
9.699398798,23.91475654
9.719438878,24.6774118
9.739478958,24.30098217
9.759519038,25.78915389
9.779559118,25.02239739
9.799599198,24.87823934
9.819639279,24.08080378
9.839679359,24.66171035
9.859719439,24.84004086
9.879759519,25.32341085
9.899799599,25.24016475
9.919839679,25.35617396
9.93987976,24.41780351
9.95991984,25.62591553
9.97995992,24.26970446
10,24.73204272
